# hanzi	pinyin	HSK level (HSK 3.0 standard, public list)
农产品	nóng chǎn pǐn	5
农作物	nóngzuòwù	7
农历	nónglì	7
农场	nóngchǎng	7
农村	nóngcūn	3
农民	nóngmín	3
农民工	nóngmíngōng	7
冠军	guànjūn	5
冤	yuān	7
冤枉	yuānwang	7
冬天	dōng tiān	2
冬季	dōng jì	4
冰	bīng	4
冰山	bīngshān	7
冰棍儿	bīnggùnr	7
冰箱	bīngxiāng	4
冰雪	bīng xuě	4
冲	chōng	4
冲击	chōngjī	6
冲刺	chōngcì	7
冲动	chōngdòng	5
冲撞	chōngzhuàng	7
冲洗	chōngxǐ	7
冲浪	chōnglàng	7
冲突	chōngtū	5
决不	jué bù	5
决定	juédìng	3
决心	juéxīn	3
决策	juécè	6
决议	juéyì	7
决赛	juésài	3
况且	kuàngqiě	7
冷	lěng	1
冷冻	lěngdòng	7
冷战	lěngzhàn	7
冷气	lěngqì	6
冷水	lěngshuǐ	6
冷淡	lěngdàn	7
冷漠	lěngmò	7
冷笑	lěngxiào	7
冷落	lěngluò	7
冷酷	lěngkù	7
冷酷无情	lěngkùwúqíng	7
冷门	lěngmén	7
冷静	lěngjìng	4
冻	dòng	5
冻结	dòngjié	7
净	jìng	6
净化	jìnghuà	7
凄凉	qīliáng	7
准	zhǔn	3
准备	zhǔnbèi	1
准时	zhǔnshí	4
准确	zhǔnquè	2
凉	liáng	2
凉快	liángkuai	2
凉水	liáng shuǐ	3
凉爽	liángshuǎng	7
凉鞋	liángxié	6
凌晨	língchén	7
减	jiǎn	4
减免	jiǎnmiǎn	7
减压	jiǎnyā	7
减少	jiǎnshǎo	4
减弱	jiǎnruò	7
减肥	jiǎnféi	4
减轻	jiǎn qīng	5
减速	jiǎnsù	7
凑	còu	7
凑合	còuhe	7
凑巧	còuqiao	7
凝固	nínggù	7
凝聚	níngjù	7
几	jǐ	1
几乎	jīhū	4
几率	jīlǜ	7
凡	fán	7
凡是	fánshì	6
凤凰	fènghuáng	7
凭	píng	5
凭借	píngjiè	7
凭着	píngzhe	7
凭证	píngzhèng	7
凯歌	kǎigē	7
凳子	dèngzi	7
凶	xiōng	6
凶恶	xiōng'è	7
凶手	xiōngshǒu	6
凶残	xiōngcán	7
凶狠	xiōnghěn	7
凶猛	xiōngměng	7
凸	tū	7
凸显	tūxiǎn	7
凹	āo	7
凹凸	āotū	6
出	chū	1
出丑	chūchǒu	7
出主意	chūzhǔyi	7
出事	chūshì	6
出于	chū yú	5
出人意料	chūrényìliào	7
出任	chūrèn	7
出众	chūzhòng	7
出入	chūrù	6
出具	chūjù	7
出动	chūdòng	6
出卖	chūmài	7
出去	chū qù	1
出发	chūfā	2
出发点	chūfādiǎn	7
出口	chū kǒu	2
出口成章	chūkǒuchéngzhāng	7
出台	chūtái	6
出名	chūmíng	6
出售	chū shòu	4
出国	chū guó	2
出土	chūtǔ	7
出场	chūchǎng	6
出境	chūjìng	7
出头	chūtóu	7
出局	chújú	7
出山	chūshān	7
出差	chūchāi	5
出席	chūxí	4
出息	chūxi	7
出手	chūshǒu	7
出来	chū lái	1
出毛病	chūmáobìng	7
出汗	chū hàn	5
出洋相	chūyángxiàng	7
出游	chūyóu	7
出演	chūyǎn	7
出版	chūbǎn	5
出版社	chūbǎnshè	7
出现	chūxiàn	2
出生	chūshēng	2
出示	chūshì	7
出租	chū zū	2
出租车	chūzūchē	2
出自	chū zì	7
出色	chūsè	4
出血	chūxiě	7
出行	chūxíng	6
出访	chūfǎng	6
出资	chūzī	7
出走	chūzǒu	7
出路	chūlù	6
出身	chūshēn	7
出道	chūdào	7
出门	chū mén	2
出院	chū yuàn	2
出难题	chūnántí	7
出面	chūmiàn	6
出风头	chūfēngtou	7
函授	hánshòu	7
凿	záo	7
刀	dāo	3
刁难	diāonàn	7
分	fēn	1
分为	fēn wéi	4
分之	fēn zhī	4
分享	fēn xiǎng	5
分别	fēnbié	3
分割	fēngē	7
分化	fēnhuà	7
分外	fènwài	7
分寸	fēncun	7
分工	fēngōng	6
分布	fēnbù	4
分开	fēn kāi	2
分成	fēn chéng	5
分手	fēnshǒu	4
分担	fēndān	7
分支	fēnzhī	7
分散	fēnsàn	4
分数	fēn shù	2
分明	fēnmíng	7
分析	fēnxī	5
分歧	fēnqí	7
分泌	fēnmì	7
分离	fēn lí	5
分类	fēn lèi	5
分红	fēnhóng	7
分组	fēn zǔ	3
分裂	fēnliè	6
分解	fēnjiě	5
分赃	fēnzāng	7
分辨	fēnbiàn	7
分配	fēnpèi	3
分量	fènliàng	7
分钟	fēnzhōng	2
切	qiē	4
切割	qiēgē	7
切实	qièshí	6
切断	qiēduàn	7
切身	qièshēn	7
切除	qiēchú	7
刊物	kānwù	7
刊登	kāndēng	7
刑法	xíngfǎ	7
划	huá	4
划分	huàfēn	5
划时代	huàshídài	7
划算	huásuàn	7
划船	huá chuán	3
列	liè	4
列为	liè wéi	4
列举	lièjǔ	7
列入	liè rù	4
列车	lièchē	4
则	zé	7
刚	gāng	2
刚刚	gāng gāng	2
刚好	gānghǎo	6
刚才	gāngcái	2
刚毅	gāngyì	7
创	chuàng	7
创业	chuàngyè	3
创伤	chuāngshāng	7
创作	chuàngzuò	3
创办	chuàngbàn	6
创始人	chuàngshǐrén	7
创建	chuàngjiàn	6
创意	chuàngyì	6
创新	chuàngxīn	3
创立	chuànglì	5
创造	chuàngzào	3
初	chū	3
初中	chū zhōng	3
初期	chū qī	5
初次	chūcì	7
初步	chūbù	3
初等	chūděng	6
初级	chūjí	3
初衷	chūzhōng	7
删	shān	7
删除	shānchú	7
判	pàn	6
判决	pànjué	7
判处	pànchǔ	7
判定	pàndìng	7
判断	pànduàn	3
刨	páo	7
利	lì	6
利害	lìhài	7
利息	lìxī	4
利润	lìrùn	5
利率	lìlǜ	7
利用	lìyòng	3
利益	lìyì	4
利索	lìsuo	7
别	bié	1
别人	bié rén	1
别具匠心	biéjùjiàngxīn	7
别墅	biéshù	7
别扭	bièniu	7
别提了	biétíle	7
别的	bié de	1
别看	biékàn	7
别致	biézhì	7
别说	biéshuō	7
刮	guā	6
刮风	guāfēng	7
到	dào	1
到位	dàowèi	7
到处	dàochù	2
到头来	dàotóulái	7
到底	dàodǐ	3
到期	dàoqī	6
到来	dào lái	5
到达	dàodá	3
制	zhì	7
制作	zhìzuò	3
制品	zhìpǐn	7
制定	zhìdìng	3
制度	zhìdù	3
制成	zhì chéng	5
制服	zhìfú	7
制止	zhìzhǐ	7
制约	zhìyuē	5
制裁	zhìcái	7
制订	zhì dìng	4
制造	zhìzào	3
刷	shuā	4
刷子	shuā zi	4
刷新	shuāxīn	7
刷牙	shuāyá	4
券	quàn	6
刹车	shāchē	7
刺	cì	4
刺激	cìjī	4
刺绣	cìxiù	7
刺耳	cì'ěr	7
刺骨	cìgǔ	7
刻	kè	2
剂	jì	7
剃	tì	7
削	xiāo	7
削弱	xuēruò	7
前	qián	1
前不久	qiánbùjiǔ	7
前仰后合	qiányǎnghòuhé	7
前任	qiánrèn	7
前台	qiántái	7
前后	qián hòu	3
前夕	qiánxī	7
前天	qián tiān	1
前头	qián tou	4
前年	qián nián	2
前往	qián wǎng	3
前所未有	qiánsuǒwèiyǒu	7
前提	qiántí	5
前方	qiánfāng	6
前无古人	qiánwúgǔrén	7
前景	qiánjǐng	5
前期	qiánqī	7
前来	qiánlái	6
前沿	qiányán	7
前线	qiánxiàn	7
前者	qiánzhě	7
前赴后继	qiánfùhòujì	7
前辈	qiánbèi	7
前边	qián biān	1
前进	qián jìn	3
前途	qiántú	4
前面	qiánmiàn	3
剑	jiàn	6
剔除	tīchú	7
剥	bāo	7
剥削	bōxuē	7
剥夺	bōduó	7
剧	jù	6
剧团	jùtuán	7
剧场	jù chǎng	3
剧情	jùqíng	7
剧本	jùběn	5
剧烈	jùliè	7
剧目	jùmù	7
剧组	jùzǔ	7
剧院	jùyuàn	7
剩	shèng	5
剩下	shèng xià	5
剩余	shèngyú	7
剪	jiǎn	5
剪刀	jiǎndāo	5
剪子	jiǎn zi	5
副	fù	6
副作用	fùzuòyòng	7
割	gē	7
劈	pī	7
力	lì	3
力不从心	lìbùcóngxīn	7
力争	lìzhēng	7
力度	lìdù	7
力所能及	lìsuǒnéngjí	7
力气	lìqi	4
力求	lìqiú	7
力量	lìliàng	3
劝	quàn	5
劝告	quàngào	7
劝说	quànshuō	7
劝阻	quànzǔ	7
办	bàn	2
办不到	bànbudào	7
办事	bàn shì	4
办公室	bàngōngshì	2
办法	bànfǎ	2
办理	bànlǐ	3
功	gōng	7
功力	gōnglì	7
功劳	gōngláo	7
功夫	gōngfu	3
功底	gōngdǐ	7
功效	gōngxiào	7
功率	gōnglǜ	7
功能	gōngnéng	3
功臣	gōngchén	7
功课	gōng kè	3
加	jiā	2
加上	jiā shàng	5
加以	jiā yǐ	5
加入	jiā rù	4
加剧	jiājù	7
加工	jiāgōng	3
加强	jiā qiáng	3
加快	jiā kuài	3
加油	jiā yóu	2
加油站	jiāyóuzhàn	4
加深	jiāshēn	7
加热	jiā rè	5
加班	jiābān	4
加盟	jiāméng	6
加紧	jiājǐn	7
加速	jiā sù	5
加重	jiāzhòng	7
务实	wùshí	7
务必	wùbì	7
劣势	lièshì	7
劣质	lièzhì	7
动	dòng	1
动不动	dòngbudòng	7
动人	dòng rén	3
动作	dòngzuò	1
动力	dònglì	3
动向	dòngxiàng	7
动听	dòngtīng	7
动员	dòngyuán	5
动工	dònggōng	7
动弹	dòngtan	7
动态	dòngtài	5
动感	dònggǎn	7
动手	dòngshǒu	5
动摇	dòng yáo	4
动机	dòngjī	5
动物	dòngwù	2
动物园	dòng wù yuán	2
动用	dòngyòng	7
动画	dònghuà	6
动画片	dònghuàpiàn	4
动脉	dòngmài	7
动荡	dòngdàng	7
动身	dòngshēn	7
动静	dòngjing	7
助威	zhùwēi	7
助手	zhùshǒu	5
助理	zhùlǐ	5
努力	nǔlì	2
劫	jié	7
劫持	jiéchí	7
励志	lìzhì	7
劲头	jìntóu	7
劳务	láowù	7
劳动	láodòng	5
劳动力	láodònglì	7
劳累	láolèi	7
势不可当	shìbùkědāng	7
势力	shìlì	5
势头	shìtou	7
势必	shìbì	7
勇于	yǒngyú	7
勇往直前	yǒngwǎngzhíqián	7
勇敢	yǒnggǎn	4
勇气	yǒngqì	4
勉强	miǎnqiǎng	7
勋章	xūnzhāng	7
勒	lēi	7
勘探	kāntàn	7
募捐	mùjuān	7
勤劳	qínláo	7
勤奋	qínfèn	5
勤工俭学	qíngōngjiǎnxué	7
勤快	qínkuai	7
勺	sháo	6
勾	gōu	7
勾画	gōuhuà	7
勾结	gōujié	7
勿	wù	7
包	bāo	1
包含	bāohán	4
包围	bāowéi	5
包子	bāo zi	1
包容	bāoróng	7
包庇	bāobì	6
包扎	bāozā	7
包括	bāokuò	4
包袱	bāofu	6
包装	bāozhuāng	5
包裹	bāoguǒ	4
匆匆	cōngcōng	7
匆忙	cōngmáng	7
化	huà	3
化妆	huàzhuāng	7
化石	huàshí	5
化纤	huàxiān	7
化肥	huàféi	7
化解	huàjiě	6
化身	huàshēn	7
化险为夷	huàxiǎnwéiyí	7
化验	huàyàn	7
北	běi	1
北京	běi jīng	1
北方	běifāng	2
北极	běijí	5
北边	běi biān	1
北部	běi bù	3
匹	pǐ	5
匹配	pǐpèi	7
区	qū	3
区分	qūfēn	6
区别	qūbié	3
区域	qūyù	5
医务	yīwù	7
医学	yī xué	4
医生	yīshēng	1
医疗	yī liáo	4
医药	yīyào	6
医院	yīyuàn	1
匿名	nìmíng	7
十	shí	1
十分	shífēn	2
十字路口	shízìlùkǒu	7
十足	shízú	5
千	qiān	2
千万	qiānwàn	3
千克	qiān kè	2
千军万马	qiānjūnwànmǎ	7
千变万化	qiānbiànwànhuà	7
千家万户	qiānjiāwànhù	7
千方百计	qiānfāngbǎijì	7
千钧一发	qiānjūnyífà	7
升	shēng	3
升值	shēngzhí	6
升学	shēngxué	6
升温	shēngwēn	7
升级	shēngjí	6
升高	shēng gāo	5
午睡	wǔ shuì	2
午餐	wǔ cān	2
午饭	wǔ fàn	1
半	bàn	1
半信半疑	bànxìnbànyí	7
半场	bànchǎng	7
半夜	bàn yè	2
半天	bàn tiān	1
半岛	bàndǎo	7
半年	bàn nián	1
半数	bànshù	7
半真半假	bànzhēnbànjiǎ	7
半路	bànlù	7
半边天	bànbiāntiān	7
半途而废	bàntú'érfèi	6
华丽	huálì	7
华人	huá rén	3
华侨	huáqiáo	7
华裔	huáyì	7
华语	huá yǔ	5
协会	xiéhuì	6
协作	xiézuò	7
协助	xiézhù	6
协同	xiétóng	7
协商	xiéshāng	6
协定	xiédìng	7
协议	xiéyì	5
协议书	xié yì shū	5
协调	xiétiáo	6
卑鄙	bēibǐ	7
单	dān	4
单一	dān yī	5
单位	dānwèi	2
单元	dānyuán	3
单打	dāndǎ	6
单方面	dānfāngmiàn	7
单独	dāndú	4
单纯	dānchún	4
单薄	dānbó	7
单调	dāndiào	4
单身	dānshēn	7
单边	dānbiān	7
卖	mài	2
卖弄	màinong	7
南	nán	1
南北	nán běi	5
南方	nán fāng	2
南极	nán jí	5
南瓜	nánguā	7
南边	nán biān	1
南部	nán bù	3
博士	bóshì	5
博客	bó kè	5
博物馆	bówùguǎn	5
博览会	bólǎnhuì	5
占	zhàn	2
占卜	zhānbǔ	7
占据	zhànjù	6
占有	zhàn yǒu	5
占用	zhànyòng	7
占领	zhànlǐng	5
卡	kǎ	2
卡子	qiǎzi	7
卡片	kǎpiàn	7
卡车	kǎchē	7
卡通	kǎtōng	7
卤味	lǔwèi	7
卧	wò	7
卧室	wòshì	5
卧铺	wòpù	6
卫星	wèixīng	5
卫生	wèi shēng	3
卫生间	wèishēngjiān	3
卫视	wèishì	7
印	yìn	6
印刷	yìnshuā	5
印刷术	yìnshuāshù	7
印章	yìnzhāng	7
印证	yìnzhèng	7
印象	yìnxiàng	3
危及	wēijí	7
危害	wēihài	3
危急	wēijí	7
危机	wēijī	6
危险	wēixiǎn	3
即	jí	7
即使	jíshǐ	5
即便	jíbiàn	7
即可	jíkě	7
即将	jíjiāng	4
却	què	4
却是	quèshì	6
卵	luǎn	7
卷	juǎn	4
卷入	juǎnrù	7
卷子	juànzi	7
卸	xiè	7
厂	chǎng	3
厂商	chǎngshāng	6
厂家	chǎngjiā	7
厂长	chǎng zhǎng	5
厄运	èyùn	7
厅	tīng	5
历史	lìshǐ	4
历届	lìjiè	7
历时	lìshí	7
历来	lìlái	7
历程	lìchéng	7
历经	lìjīng	7
厉害	lìhai	5
压	yā	3
压倒	yādǎo	7
压制	yāzhì	7
压力	yālì	3
压抑	yāyì	7
压缩	yāsuō	7
压迫	yāpò	6
厌倦	yànjuàn	7
厌烦	yànfán	7
厕所	cèsuǒ	6
厘米	límǐ	4
厚	hòu	4
厚度	hòudù	7
厚道	hòudao	7
原	yuán	6
原先	yuánxiān	5
原则	yuánzé	4
原创	yuánchuàng	7
原告	yuángào	6
原因	yuányīn	2
原地	yuándì	7
原型	yuánxíng	7
原始	yuánshǐ	5
原料	yuánliào	4
原有	yuán yǒu	5
原本	yuánběn	7
原材料	yuáncáiliào	7
原来	yuánlái	2
原汁原味	yuánzhīyuánwèi	7
原理	yuánlǐ	5
原装	yuánzhuāng	7
原谅	yuánliàng	6
厨师	chúshī	6
厨房	chúfáng	5
去	qù	1
去世	qùshì	3
去向	qùxiàng	7
去处	qùchù	7
去年	qùnián	1
去掉	qùdiào	6
去除	qùchú	7
县	xiàn	4
参与	cānyù	4
参军	cānjūn	7
参加	cānjiā	2
参展	cānzhǎn	6
参照	cānzhào	7
参考	cānkǎo	4
参见	cānjiàn	7
参观	cāngguān	2
参谋	cānmóu	7
参赛	cānsài	6
又	yòu	2
叉	chā	5
叉子	chāzi	5
及	jí	7
及其	jíqí	7
及早	jízǎo	7
及时	jíshí	3
及格	jígé	4
友人	yǒurén	7
友善	yǒushàn	7
友好	yǒuhǎo	2
友情	yóuqíng	7
友谊	yǒuyì	5
双	shuāng	3
双向	shuāngxiàng	7
双手	shuāng shǒu	5
双打	shuāngdǎ	6
双方	shuāngfāng	3
双胞胎	shuāngbāotāi	7
双赢	shuāngyíng	7
双边	shuāngbiān	7
双重	shuāngchóng	7
反	fǎn	4
反倒	fǎndào	7
反击	fǎnjī	7
反响	fǎnxiǎng	6
反复	fǎnfù	3
反对	fǎnduì	3
反差	fǎnchā	7
反常	fǎncháng	7
反应	fǎnyìng	3
反弹	fǎntán	7
反思	fǎnsī	7
反感	fǎngǎn	7
反抗	fǎnkàng	6
反映	fǎnyìng	4
反正	fǎnzhèng	3
反省	fǎnxǐng	7
反而	fǎn'ér	4
反过来	fǎnguòlái	7
反问	fǎnwèn	6
反面	fǎnmiàn	7
反馈	fǎnkuì	7
反驳	fǎnbó	7
发	fā	2
发作	fāzuò	7
发光	fāguāng	7
发出	fā chū	3
发动	fādòng	3
发型	fàxíng	7
发射	fāshè	5
发展	fāzhǎn	3
发布	fābù	5
发布会	fābùhuì	7
发怒	fānù	6
发愁	fāchóu	7
发愣	fālèng	7
发愤图强	fāfèntúqiáng	7
发扬	fāyáng	7
发扬光大	fāyángguāngdà	7
发抖	fādǒu	7
发挥	fāhuī	4
发掘	fājué	7
发放	fāfàng	6
发明	fāmíng	3
发泄	fāxiè	7
发源地	fāyuándì	7
发火	fāhuǒ	7
发炎	fāyán	6
发烧	fāshāo	4
发热	fārè	7
发现	fāxiàn	2
发生	fāshēng	3
发电	fādiàn	6
发电机	fādiànjī	7
发病	fābìng	6
发票	fāpiào	4
发育	fāyù	7
发脾气	fāpíqi	7
发行	fāxíng	5
发表	fābiǎo	3
发觉	fājué	5
发言	fāyán	3
发言人	fāyánrén	6
发誓	fāshì	7
发财	fācái	7
发起	fāqǐ	6
发起人	fāqǐrén	7
发达	fādá	3
发送	fā sòng	3
发酵	fājiào	7
叔叔	shūshu	4
取	qǔ	2
取代	qǔdài	7
取决于	qǔjuéyú	7
取得	qǔ dé	2
取暖	qǔnuǎn	7
取款	qǔkuǎn	6
取款机	qǔkuǎnjī	6
取消	qǔxiāo	3
取笑	qǔxiào	7
取经	qǔjīng	7
取缔	qǔdì	7
取而代之	qǔ'érdàizhī	7
取胜	qǔshèng	7
受	shòu	3
受不了	shòubuliǎo	4
受伤	shòushāng	3
受到	shòudào	2
受害	shòuhài	7
受害人	shòuhàirén	7
受惊	shòujīng	7
受灾	shòu zāi	5
受理	shòulǐ	7
受益	shòuyì	7
受苦	shòukǔ	7
受贿	shòuhuì	7
受过	shòuguò	7
受骗	shòupiàn	7
变	biàn	2
变为	biàn wéi	3
变动	biàn dòng	5
变化	biànhuà	3
变幻莫测	biànhuànmòcè	7
变异	biànyì	7
变成	biàn chéng	2
变质	biànzhì	7
变迁	biànqiān	7
变革	biàngé	7
叙述	xùshù	7
叛逆	pànnì	7
叠	dié	7
口	kǒu	1
口令	kǒulìng	7
口号	kǒu hào	5
口吃	kǒuchī	7
口味	kǒuwèi	7
口哨	kǒushào	7
口头	kǒutóu	7
口子	kǒuzi	7
口径	kǒujìng	7
口感	kǒugǎn	7
口才	kǒucái	7
口气	kǒuqì	7
口水	kǒushuǐ	7
口碑	kǒubēi	7
口罩	kǒuzhào	7
口腔	kǒuqiāng	7
口袋	kǒu dài	4
口试	kǒushì	6
口语	kǒu yǔ	4
口音	kǒuyīn	7
口香糖	kǒuxiāngtáng	7
古	gǔ	3
古人	gǔrén	7
古今中外	gǔjīnzhōngwài	7
古代	gǔdài	3
古典	gǔdiǎn	6
古怪	gǔguài	7
古朴	gǔpǔ	7
古老	gǔ lǎo	5
古董	gǔdǒng	7
古迹	gǔjì	7
句	jù	2
句子	jùzi	2
另	lìng	6
另一方面	lìng yì fāng miàn	3
另外	lìngwài	3
只	zhǐ	2
只不过	zhǐ bú guò	5
只好	zhǐhǎo	3
只得	zhǐdé	6
只是	zhǐ shì	3
只有	zhǐ yǒu	3
只管	zhǐguǎn	6
只能	zhǐ néng	2
只要	zhǐyào	2
只见	zhǐ jiàn	5
只顾	zhǐgù	6
叫	jiào	1
叫作	jiào zuò	2
叫好	jiàohǎo	7
叫板	jiàobǎn	7
召开	zhàokāi	4
召集	zhàojí	7
叮嘱	dīngzhǔ	7
可	kě	5
可乐	kě lè	3
可以	kěyǐ	2
可怕	kěpà	2
可怜	kělián	5
可惜	kěxī	5
可是	kěshì	2
可爱	kě'ài	2
可能	kěnéng	2
可见	kějiàn	4
可靠	kěkào	3
台	tái	3
台上	tái shàng	4
台灯	táidēng	6
台球	táiqiú	7
台阶	táijiē	4
台风	táifēng	5
史无前例	shǐwúqiánlì	7
右	yòu	1
右边	yòubian	1
叶子	yèzi	4
号	hào	1
号召	hàozhào	5
号码	hàomǎ	4
号称	hàochēng	7
司令	sīlìng	7
司机	sījī	2
司法	sīfǎ	7
司空见惯	sīkōngjiànguàn	7
司长	sīzhǎng	6
叹气	tànqì	6
吃	chī	1
吃不上	chībushàng	7
吃亏	chīkuī	7
吃力	chīlì	5
吃喝玩乐	chīhēwánlè	7
吃惊	chījīng	4
吃苦	chīkǔ	7
吃饭	chī fàn	1
各	gè	3
各个	gè gè	4
各位	gè wèi	3
各地	gè dì	3
各奔前程	gèbènqiánchéng	7
各式各样	gèshìgèyàng	7
各种	gè zhǒng	3
各自	gèzì	3
合	hé	3
合乎	héhū	7
合伙	héhuǒ	7
合作	hézuò	3
合作社	hézuòshè	7
合同	hétong	4
合唱	héchàng	7
合并	hébìng	5
合影	héyǐng	7
合情合理	héqínghélǐ	7
